source,participant-id,timestamp,sedentary-minutes,lightly-active-minutes,fairly-active-minutes,very-active-minutes,sedentary-active-distance,light-active-distance,moderately-active-distance,very-active-distance
fitbit,5553957443,1460851200.0,943,46,0,0,0,0.430000007152557,0,0
fitbit,5553957443,1460937600.0,622,206,0,0,0,2.4300000667572,0,0
fitbit,5553957443,1461024000.0,756,249,28,69,0,4.17999982833862,1.6599999666214,4.28000020980835
fitbit,5553957443,1461110400.0,598,148,0,0,0,1.76999998092651,0,0
fitbit,5553957443,1461196800.0,801,177,42,47,0,2.96000003814697,2.16000008583069,2.95000004768372
fitbit,5553957443,1461283200.0,781,270,16,25,0,5.59999990463257,0.629999995231628,1.37999999523163
fitbit,5553957443,1461369600.0,443,272,0,0,0,2.6800000667572,0,0
fitbit,5553957443,1461456000.0,582,104,0,0,0,1.17999994754791,0,0
fitbit,5553957443,1461542400.0,732,201,11,51,0,3.69000005722046,0.569999992847443,2.9300000667572
fitbit,5553957443,1461628800.0,750,238,18,40,0,4.46000003814697,0.930000007152557,2.36999988555908
fitbit,5553957443,1461715200.0,745,206,16,16,0,4.73999977111816,1,1.13999998569489
fitbit,5553957443,1461801600.0,727,165,13,49,0,3.17000007629395,0.75,3.71000003814697
fitbit,5553957443,1461888000.0,709,270,15,46,0,4.90999984741211,0.639999985694885,2.78999996185303
fitbit,5553957443,1461974400.0,506,84,0,0,0,0.779999971389771,0,0
fitbit,5553957443,1462060800.0,436,237,0,0,0,3.36999988555908,0,0
fitbit,5553957443,1462147200.0,724,227,9,23,0,4.90000009536743,0.409999996423721,1.05999994277954
fitbit,5553957443,1462233600.0,812,247,29,26,0,5.67999982833862,1.20000004768372,1.5
fitbit,5553957443,1462320000.0,651,224,0,0,0,2.76999998092651,0,0
fitbit,5553957443,1462406400.0,692,241,29,44,0,4.42999982833862,1.6599999666214,3.4300000667572
fitbit,5553957443,1462492800.0,761,229,9,21,0,4.23000001907349,0.540000021457672,1.51999998092651
fitbit,5553957443,1462579200.0,902,96,0,0,0,1.22000002861023,0,0
